system,TP,FP,FN,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,f1,f1_ci95_low,f1_ci95_high,macro_precision,macro_recall,macro_f1,exact_image_category_match_rate,image_universe,n_bootstrap,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high,family,exactness,description,source_path
GROVE_full_paper_archived,167,63,43,0.7261,0.6530,0.7881,0.7952,0.7401,0.8497,0.7591,0.7014,0.8077,0.5656,0.5858,0.5593,0.6552,203,1000,0.3000,247,275,276,1,0.0036,0.7449,0.6218,0.5101,0.4836,0.6397,0.5101,0.7941,0.6282,0.8436,0.0854,0.5515,0.6923,0.4444,0.5798,0.5646,0.7085,0.4372,0.5771,0.5769,0.6776,0.7815,0.9038,grove_main,exact_cached_full_system,Archived paper-facing GROVE Qwen 3.5 9B final reconciled outputs.,<LOCAL_EVIDENCE_ROOT>/final_evaluation_package_2026-05-01/results/archived_raw_runs/exp01_modular_qwen_results/exp01_run1.jsonl
GROVE_trace_qwen35_9b_final,142,206,68,0.4080,0.3453,0.4639,0.6762,0.6127,0.7349,0.5090,0.4481,0.5629,0.3576,0.5552,0.4189,0.3350,203,1000,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,grove_trace_control,exact_cached_trace_full_system,Trace-enabled current modular Qwen 3.5 9B final outputs used as ablation control.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
baseline_direct_gemma4_26b,81,42,129,0.6585,0.5766,0.7333,0.3857,0.3333,0.4352,0.4865,0.4315,0.5378,0.6883,0.2746,0.3551,0.4433,203,1000,0.3000,247,103,137,34,0.2482,0.2713,0.3786,0.1296,0.3010,0.1862,0.0931,0.6683,0.4519,0.7476,0.0077,0.2812,0.4811,0.0830,0.1796,0.1210,0.2540,0.0502,0.1405,0.3869,0.5143,0.6517,0.8235,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_26b/exp_e2e_gemma4_26b_run1.jsonl
baseline_direct_gemma4_31b,105,64,105,0.6213,0.5511,0.6829,0.5000,0.4383,0.5578,0.5541,0.4987,0.6049,0.4753,0.3678,0.4053,0.4532,203,1000,0.3000,247,145,205,60,0.2927,0.3320,0.3931,0.1538,0.2483,0.2186,0.1134,0.5699,0.3923,0.6828,0.0076,0.3066,0.4820,0.1051,0.2049,0.1542,0.2863,0.0647,0.1660,0.3316,0.4507,0.5862,0.7655,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_31b/exp_e2e_gemma4_31b_run1.jsonl
baseline_direct_gemma4_e2b,82,142,128,0.3661,0.2986,0.4274,0.3905,0.3422,0.4455,0.3779,0.3224,0.4289,0.3097,0.2590,0.2465,0.1330,203,1000,0.3000,247,162,267,105,0.3933,0.2470,0.1914,0.1053,0.1358,0.1700,0.0810,0.5308,0.4201,0.3889,0.0020,0.1290,0.2686,0.0642,0.1500,0.1024,0.2422,0.0360,0.1328,0.3349,0.5065,0.2948,0.4774,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_e2b/exp_e2e_gemma4_e2b_run1.jsonl
baseline_direct_gemma4_e4b,114,161,96,0.4145,0.3483,0.4774,0.5429,0.4839,0.6000,0.4701,0.4141,0.5214,0.3117,0.4230,0.3431,0.1133,203,1000,0.3000,247,218,318,100,0.3145,0.3806,0.3028,0.1700,0.1927,0.2834,0.1377,0.5217,0.3837,0.4541,0.0055,0.2300,0.3668,0.1136,0.2259,0.2117,0.3532,0.0840,0.1940,0.3035,0.4643,0.3548,0.5424,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_e4b/exp_e2e_gemma4_e4b_run1.jsonl
baseline_direct_llama32_vision_11b_apr2026,41,201,169,0.1694,0.1215,0.2208,0.1952,0.1463,0.2461,0.1814,0.1336,0.2332,0.1928,0.2755,0.1555,0.0690,203,1000,0.3000,247,323,365,42,0.1151,0.7409,0.4799,0.1296,0.1300,0.3806,0.1984,0.4194,0.4099,0.4056,0.0035,0.3899,0.5640,0.0876,0.1755,0.3029,0.4565,0.1381,0.2624,0.3519,0.4667,0.3197,0.4893,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_llama32_vision_11b_apr2026/exp_e2e_llama32_vision_11b_apr2026_run1.jsonl
baseline_direct_qwen35_27b,127,120,83,0.5142,0.4457,0.5794,0.6048,0.5367,0.6617,0.5558,0.4958,0.6065,0.4485,0.4307,0.4140,0.4631,203,1000,0.3000,247,219,323,104,0.3220,0.4696,0.3744,0.2551,0.2603,0.3522,0.2267,0.6824,0.5007,0.6484,0.0269,0.2899,0.4491,0.1855,0.3206,0.2707,0.4327,0.1531,0.2981,0.4376,0.5654,0.5497,0.7353,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_27b/exp_e2e_qwen35_27b_run1.jsonl
baseline_direct_qwen35_2b,37,44,173,0.4568,0.3429,0.5614,0.1762,0.1289,0.2238,0.2543,0.1905,0.3172,0.3544,0.1221,0.1620,0.3842,203,1000,0.3000,247,50,90,40,0.4444,0.0850,0.3000,0.0364,0.2000,0.0607,0.0243,0.6733,0.4275,0.5200,0.0012,0.1739,0.4390,0.0160,0.0599,0.0235,0.1048,0.0038,0.0556,0.3082,0.5535,0.3500,0.6885,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_2b/exp_e2e_qwen35_2b_run1.jsonl
baseline_direct_qwen35_4b,127,211,83,0.3757,0.3129,0.4294,0.6048,0.5441,0.6624,0.4635,0.4038,0.5109,0.2892,0.4538,0.3292,0.1133,203,1000,0.3000,247,147,556,409,0.7356,0.1781,0.2245,0.1012,0.1701,0.1255,0.0769,0.6947,0.5128,0.4490,0.0095,0.1384,0.3154,0.0558,0.1521,0.0728,0.1805,0.0360,0.1245,0.4207,0.6200,0.3198,0.5714,baseline_single_pass,exact_cached_baseline,Single-pass image reasoning baseline from local cached JSONL.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_4b/exp_e2e_qwen35_4b_run1.jsonl
