system,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,gt_coverage_iog03_Fall_Hazard,support_gt_boxes_Fall_Hazard,low_support_Fall_Hazard,gt_coverage_iog03_StruckBy_Hazard,support_gt_boxes_StruckBy_Hazard,low_support_StruckBy_Hazard,gt_coverage_iog03_Electrocution_Hazard,support_gt_boxes_Electrocution_Hazard,low_support_Electrocution_Hazard,gt_coverage_iog03_CaughtInBetween_hazard,support_gt_boxes_CaughtInBetween_hazard,low_support_CaughtInBetween_hazard,gt_coverage_iog03_PPE_Violation,support_gt_boxes_PPE_Violation,low_support_PPE_Violation,gt_coverage_iog03_Housekeeping_Storage,support_gt_boxes_Housekeeping_Storage,low_support_Housekeeping_Storage,gt_coverage_iog03_Other,support_gt_boxes_Other,low_support_Other,gt_coverage_iog03_ci95_low,gt_coverage_iog03_ci95_high,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high
GROVE_full_paper_archived,0.3000,247,275,276,1,0.0036,0.7449,0.6218,0.5101,0.4836,0.6397,0.5101,0.7941,0.6282,0.8436,0.0854,0.8413,63,0,0.6667,3,1,0.7500,24,0,0.5000,10,0,0.8667,45,0,0.7013,77,0,0.5200,25,0,0.6713,0.8130,0.5515,0.6923,0.4444,0.5798,0.5646,0.7085,0.4372,0.5771,0.5769,0.6776,0.7815,0.9038
GROVE_trace_qwen35_9b_final,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
baseline_direct_gemma4_26b,0.3000,247,103,137,34,0.2482,0.2713,0.3786,0.1296,0.3010,0.1862,0.0931,0.6683,0.4519,0.7476,0.0077,0.2698,63,0,0.3333,3,1,0.3750,24,0,0.4000,10,0,0.3111,45,0,0.2597,77,0,0.0800,25,0,0.1898,0.3543,0.2812,0.4811,0.0830,0.1796,0.1210,0.2540,0.0502,0.1405,0.3869,0.5143,0.6517,0.8235
baseline_direct_gemma4_31b,0.3000,247,145,205,60,0.2927,0.3320,0.3931,0.1538,0.2483,0.2186,0.1134,0.5699,0.3923,0.6828,0.0076,0.3333,63,0,0.3333,3,1,0.2917,24,0,0.5000,10,0,0.3333,45,0,0.3636,77,0,0.2000,25,0,0.2489,0.4188,0.3066,0.4820,0.1051,0.2049,0.1542,0.2863,0.0647,0.1660,0.3316,0.4507,0.5862,0.7655
baseline_direct_gemma4_e2b,0.3000,247,162,267,105,0.3933,0.2470,0.1914,0.1053,0.1358,0.1700,0.0810,0.5308,0.4201,0.3889,0.0020,0.2698,63,0,0.6667,3,1,0.2917,24,0,0.1000,10,0,0.1778,45,0,0.2338,77,0,0.3200,25,0,0.1571,0.3377,0.1290,0.2686,0.0642,0.1500,0.1024,0.2422,0.0360,0.1328,0.3349,0.5065,0.2948,0.4774
baseline_direct_gemma4_e4b,0.3000,247,218,318,100,0.3145,0.3806,0.3028,0.1700,0.1927,0.2834,0.1377,0.5217,0.3837,0.4541,0.0055,0.3968,63,0,0.3333,3,1,0.2917,24,0,0.6000,10,0,0.3556,45,0,0.4026,77,0,0.3200,25,0,0.2964,0.4653,0.2300,0.3668,0.1136,0.2259,0.2117,0.3532,0.0840,0.1940,0.3035,0.4643,0.3548,0.5424
baseline_direct_llama32_vision_11b_apr2026,0.3000,247,323,365,42,0.1151,0.7409,0.4799,0.1296,0.1300,0.3806,0.1984,0.4194,0.4099,0.4056,0.0035,0.7460,63,0,1.0000,3,1,0.8750,24,0,0.8000,10,0,0.6889,45,0,0.6883,77,0,0.8000,25,0,0.6479,0.8288,0.3899,0.5640,0.0876,0.1755,0.3029,0.4565,0.1381,0.2624,0.3519,0.4667,0.3197,0.4893
baseline_direct_qwen35_27b,0.3000,247,219,323,104,0.3220,0.4696,0.3744,0.2551,0.2603,0.3522,0.2267,0.6824,0.5007,0.6484,0.0269,0.5238,63,0,0.6667,3,1,0.5000,24,0,0.5000,10,0,0.3556,45,0,0.5455,77,0,0.2400,25,0,0.3774,0.5584,0.2899,0.4491,0.1855,0.3206,0.2707,0.4327,0.1531,0.2981,0.4376,0.5654,0.5497,0.7353
baseline_direct_qwen35_2b,0.3000,247,50,90,40,0.4444,0.0850,0.3000,0.0364,0.2000,0.0607,0.0243,0.6733,0.4275,0.5200,0.0012,0.0635,63,0,0.3333,3,1,0.1667,24,0,0.0000,10,0,0.0667,45,0,0.1039,77,0,0.0400,25,0,0.0400,0.1362,0.1739,0.4390,0.0160,0.0599,0.0235,0.1048,0.0038,0.0556,0.3082,0.5535,0.3500,0.6885
baseline_direct_qwen35_4b,0.3000,247,147,556,409,0.7356,0.1781,0.2245,0.1012,0.1701,0.1255,0.0769,0.6947,0.5128,0.4490,0.0095,0.2063,63,0,0.3333,3,1,0.2917,24,0,0.2000,10,0,0.1333,45,0,0.1688,77,0,0.0800,25,0,0.1090,0.2510,0.1384,0.3154,0.0558,0.1521,0.0728,0.1805,0.0360,0.1245,0.4207,0.6200,0.3198,0.5714
