system,category,support_gt_boxes,low_support,gt_coverage_iog03
GROVE_full_paper_archived,Fall_Hazard,63,0,0.8413
GROVE_full_paper_archived,StruckBy_Hazard,3,1,0.6667
GROVE_full_paper_archived,Electrocution_Hazard,24,0,0.7500
GROVE_full_paper_archived,CaughtInBetween_hazard,10,0,0.5000
GROVE_full_paper_archived,PPE_Violation,45,0,0.8667
GROVE_full_paper_archived,Housekeeping_Storage,77,0,0.7013
GROVE_full_paper_archived,Other,25,0,0.5200
GROVE_trace_qwen35_9b_final,Fall_Hazard,63,0,0.7937
GROVE_trace_qwen35_9b_final,StruckBy_Hazard,3,1,0.6667
GROVE_trace_qwen35_9b_final,Electrocution_Hazard,24,0,0.8333
GROVE_trace_qwen35_9b_final,CaughtInBetween_hazard,10,0,0.6000
GROVE_trace_qwen35_9b_final,PPE_Violation,45,0,0.9111
GROVE_trace_qwen35_9b_final,Housekeeping_Storage,77,0,0.6623
GROVE_trace_qwen35_9b_final,Other,25,0,0.6400
baseline_direct_gemma4_26b,Fall_Hazard,63,0,0.2698
baseline_direct_gemma4_26b,StruckBy_Hazard,3,1,0.3333
baseline_direct_gemma4_26b,Electrocution_Hazard,24,0,0.3750
baseline_direct_gemma4_26b,CaughtInBetween_hazard,10,0,0.4000
baseline_direct_gemma4_26b,PPE_Violation,45,0,0.3111
baseline_direct_gemma4_26b,Housekeeping_Storage,77,0,0.2597
baseline_direct_gemma4_26b,Other,25,0,0.0800
baseline_direct_gemma4_31b,Fall_Hazard,63,0,0.3333
baseline_direct_gemma4_31b,StruckBy_Hazard,3,1,0.3333
baseline_direct_gemma4_31b,Electrocution_Hazard,24,0,0.2917
baseline_direct_gemma4_31b,CaughtInBetween_hazard,10,0,0.5000
baseline_direct_gemma4_31b,PPE_Violation,45,0,0.3333
baseline_direct_gemma4_31b,Housekeeping_Storage,77,0,0.3636
baseline_direct_gemma4_31b,Other,25,0,0.2000
baseline_direct_gemma4_e2b,Fall_Hazard,63,0,0.2698
baseline_direct_gemma4_e2b,StruckBy_Hazard,3,1,0.6667
baseline_direct_gemma4_e2b,Electrocution_Hazard,24,0,0.2917
baseline_direct_gemma4_e2b,CaughtInBetween_hazard,10,0,0.1000
baseline_direct_gemma4_e2b,PPE_Violation,45,0,0.1778
baseline_direct_gemma4_e2b,Housekeeping_Storage,77,0,0.2338
baseline_direct_gemma4_e2b,Other,25,0,0.3200
baseline_direct_gemma4_e4b,Fall_Hazard,63,0,0.3968
baseline_direct_gemma4_e4b,StruckBy_Hazard,3,1,0.3333
baseline_direct_gemma4_e4b,Electrocution_Hazard,24,0,0.2917
baseline_direct_gemma4_e4b,CaughtInBetween_hazard,10,0,0.6000
baseline_direct_gemma4_e4b,PPE_Violation,45,0,0.3556
baseline_direct_gemma4_e4b,Housekeeping_Storage,77,0,0.4026
baseline_direct_gemma4_e4b,Other,25,0,0.3200
