system,system_label,selection_role,status,not_run_reason,overlap_family,threshold,total_gt_boxes,total_pred_boxes,predicted_hazards,no_box_hazards,no_box_rate,gt_coverage_recall,pred_to_gt_coverage,gt_to_pred_containment,category_aware_grounding_recall,category_aware_grounding_precision,box_label_grounding_f1,mean_iou,mean_iop_tightness
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.1000,247,275,276,1,0.0036,0.8704,0.7527,0.8727,0.5385,0.4836,0.5096,0.5490,0.7955
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.2000,247,275,276,1,0.0036,0.7976,0.6800,0.8545,0.4939,0.4436,0.4674,0.5936,0.7968
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.3000,247,275,276,1,0.0036,0.7449,0.6218,0.8436,0.4575,0.4109,0.4330,0.6282,0.7941
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.4000,247,275,276,1,0.0036,0.6721,0.5600,0.8145,0.4130,0.3709,0.3908,0.6634,0.7871
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.5000,247,275,276,1,0.0036,0.6275,0.5382,0.7891,0.3887,0.3491,0.3678,0.6733,0.7828
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.6000,247,275,276,1,0.0036,0.5911,0.4982,0.7782,0.3522,0.3164,0.3333,0.6959,0.7922
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iog,0.7000,247,275,276,1,0.0036,0.5263,0.4473,0.7673,0.3077,0.2764,0.2912,0.7074,0.7821
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iou,0.3000,247,275,276,1,0.0036,0.6397,0.5782,0.8436,0.3806,0.3418,0.3602,0.7352,0.9319
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iou,0.4000,247,275,276,1,0.0036,0.5628,0.5127,0.8145,0.3522,0.3164,0.3333,0.7868,0.9471
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iou,0.5000,247,275,276,1,0.0036,0.5101,0.4764,0.7891,0.3198,0.2873,0.3027,0.8125,0.9558
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iop,0.3000,247,275,276,1,0.0036,0.8219,0.8436,0.8436,0.5749,0.5164,0.5441,0.4869,0.9265
GROVE_full_paper_archived,GROVE full,Named comparison,COMPUTED,,iop,0.5000,247,275,276,1,0.0036,0.7692,0.7891,0.7891,0.5304,0.4764,0.5019,0.5047,0.9642
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.1000,247,286,471,185,0.3928,0.4939,0.3636,0.5175,0.2065,0.1783,0.1914,0.3787,0.7323
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.2000,247,286,471,185,0.3928,0.4332,0.2867,0.5070,0.1619,0.1399,0.1501,0.4454,0.7052
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.3000,247,286,471,185,0.3928,0.3887,0.2587,0.4895,0.1457,0.1259,0.1351,0.4725,0.6963
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.4000,247,286,471,185,0.3928,0.3360,0.2063,0.4510,0.1296,0.1119,0.1201,0.5182,0.7083
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.5000,247,286,471,185,0.3928,0.2794,0.1678,0.4406,0.1053,0.0909,0.0976,0.5518,0.6928
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.6000,247,286,471,185,0.3928,0.2551,0.1434,0.4021,0.0891,0.0769,0.0826,0.5763,0.6930
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iog,0.7000,247,286,471,185,0.3928,0.1984,0.1189,0.3811,0.0810,0.0699,0.0750,0.5850,0.6777
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iou,0.3000,247,286,471,185,0.3928,0.2955,0.2203,0.4895,0.1255,0.1084,0.1163,0.5492,0.8140
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iou,0.4000,247,286,471,185,0.3928,0.1862,0.1434,0.4510,0.0769,0.0664,0.0713,0.6564,0.8951
baseline_direct_qwen35_9b,Qwen 3.5 9B single-pass,Named comparison,COMPUTED,,iou,0.5000,247,286,471,185,0.3928,0.1417,0.1154,0.4406,0.0648,0.0559,0.0600,0.7067,0.8904
