system,category,support_gt_images,support_pred_images,low_support,TP,FP,FN,precision,recall,f1
GROVE_full_paper_archived,Fall_Hazard,61,78,0,58,20,3,0.7436,0.9508,0.8345
GROVE_full_paper_archived,StruckBy_Hazard,3,1,1,0,1,3,0.0000,0.0000,0.0000
GROVE_full_paper_archived,Electrocution_Hazard,24,26,0,22,4,2,0.8462,0.9167,0.8800
GROVE_full_paper_archived,CaughtInBetween_hazard,10,4,0,1,3,9,0.2500,0.1000,0.1429
GROVE_full_paper_archived,PPE_Violation,40,55,0,37,18,3,0.6727,0.9250,0.7789
GROVE_full_paper_archived,Housekeeping_Storage,48,53,0,40,13,8,0.7547,0.8333,0.7921
GROVE_full_paper_archived,Other,24,13,0,9,4,15,0.6923,0.3750,0.4865
GROVE_trace_qwen35_9b_final,Fall_Hazard,61,77,0,51,26,10,0.6623,0.8361,0.7391
GROVE_trace_qwen35_9b_final,StruckBy_Hazard,3,43,1,1,42,2,0.0233,0.3333,0.0435
GROVE_trace_qwen35_9b_final,Electrocution_Hazard,24,39,0,19,20,5,0.4872,0.7917,0.6032
GROVE_trace_qwen35_9b_final,CaughtInBetween_hazard,10,8,0,2,6,8,0.2500,0.2000,0.2222
GROVE_trace_qwen35_9b_final,PPE_Violation,40,66,0,29,37,11,0.4394,0.7250,0.5472
GROVE_trace_qwen35_9b_final,Housekeeping_Storage,48,68,0,32,36,16,0.4706,0.6667,0.5517
GROVE_trace_qwen35_9b_final,Other,24,47,0,8,39,16,0.1702,0.3333,0.2254
baseline_direct_gemma4_26b,Fall_Hazard,61,47,0,40,7,21,0.8511,0.6557,0.7407
baseline_direct_gemma4_26b,StruckBy_Hazard,3,16,1,0,16,3,0.0000,0.0000,0.0000
baseline_direct_gemma4_26b,Electrocution_Hazard,24,17,0,9,8,15,0.5294,0.3750,0.4390
baseline_direct_gemma4_26b,CaughtInBetween_hazard,10,2,0,2,0,8,1.0000,0.2000,0.3333
baseline_direct_gemma4_26b,PPE_Violation,40,16,0,11,5,29,0.6875,0.2750,0.3929
baseline_direct_gemma4_26b,Housekeeping_Storage,48,24,0,18,6,30,0.7500,0.3750,0.5000
baseline_direct_gemma4_26b,Other,24,1,0,1,0,23,1.0000,0.0417,0.0800
baseline_direct_gemma4_31b,Fall_Hazard,61,61,0,48,13,13,0.7869,0.7869,0.7869
baseline_direct_gemma4_31b,StruckBy_Hazard,3,11,1,0,11,3,0.0000,0.0000,0.0000
baseline_direct_gemma4_31b,Electrocution_Hazard,24,23,0,14,9,10,0.6087,0.5833,0.5957
baseline_direct_gemma4_31b,CaughtInBetween_hazard,10,8,0,2,6,8,0.2500,0.2000,0.2222
baseline_direct_gemma4_31b,PPE_Violation,40,33,0,21,12,19,0.6364,0.5250,0.5753
baseline_direct_gemma4_31b,Housekeeping_Storage,48,22,0,17,5,31,0.7727,0.3542,0.4857
baseline_direct_gemma4_31b,Other,24,11,0,3,8,21,0.2727,0.1250,0.1714
baseline_direct_gemma4_e2b,Fall_Hazard,61,88,0,43,45,18,0.4886,0.7049,0.5772
