system,threshold_type,threshold,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,iou_at_0_3,iou_at_0_5,mean_iou_covering,no_box_rate
GROVE_full_paper_archived,groundingdino_confidence,0.2,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,groundingdino_confidence,0.3,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,groundingdino_confidence,0.4,0.7126,0.6307,0.4737,0.6032,0.4777,0.6334,0.1268
GROVE_full_paper_archived,groundingdino_confidence,0.5,0.5061,0.6105,0.3117,0.4291,0.3279,0.6627,0.3768
GROVE_full_paper_archived,groundingdino_confidence,0.6,0.3522,0.6000,0.2267,0.2915,0.2267,0.6867,0.5290
GROVE_full_paper_archived,groundingdino_confidence,0.7,0.2955,0.5980,0.1822,0.2348,0.1984,0.7360,0.6304
GROVE_full_paper_archived,groundingdino_confidence,0.8,0.2065,0.5714,0.1012,0.1619,0.1417,0.7207,0.7464
GROVE_full_paper_archived,openclip_similarity,0.2,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,openclip_similarity,0.3,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,openclip_similarity,0.4,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,openclip_similarity,0.5,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,openclip_similarity,0.6,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,openclip_similarity,0.7,0.7449,0.6241,0.5101,0.6397,0.5101,0.6282,0.0072
GROVE_full_paper_archived,openclip_similarity,0.8,0.7085,0.6555,0.4818,0.6073,0.4777,0.6134,0.1377
GROVE_full_paper_archived,oversized_box_cutoff_pct,35,0.4696,0.5054,0.2794,0.3968,0.2753,0.6345,0.3261
GROVE_full_paper_archived,oversized_box_cutoff_pct,50,0.5992,0.5702,0.3806,0.5101,0.3725,0.6605,0.1739
GROVE_full_paper_archived,oversized_box_cutoff_pct,65,0.6356,0.5868,0.4170,0.5385,0.4130,0.6448,0.1232
GROVE_full_paper_archived,oversized_box_cutoff_pct,85,0.7085,0.6100,0.4656,0.6113,0.4858,0.6348,0.0616
GROVE_full_paper_archived,oversized_box_cutoff_pct,100,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,iog_success_threshold,0.1,0.8704,0.7527,0.6032,0.6397,0.5101,0.5490,0.0036
GROVE_full_paper_archived,iog_success_threshold,0.2,0.7976,0.6800,0.5506,0.6397,0.5101,0.5936,0.0036
GROVE_full_paper_archived,iog_success_threshold,0.3,0.7449,0.6218,0.5101,0.6397,0.5101,0.6282,0.0036
GROVE_full_paper_archived,iog_success_threshold,0.4,0.6721,0.5600,0.4494,0.6397,0.5101,0.6634,0.0036
GROVE_full_paper_archived,iog_success_threshold,0.5,0.6275,0.5382,0.4251,0.6397,0.5101,0.6733,0.0036
